ID,SEQUENCE,POS,PROJECT,FILE
0,Sequence Not Str,NN RB NN,pandas-main,_typing.py
1,Base Buffer,JJ NN,pandas-main,_typing.py
2,Read Buffer,VB NN,pandas-main,_typing.py
3,Write Buffer,VB NN,pandas-main,_typing.py
4,Read Pickle Buffer,VB NN NN,pandas-main,_typing.py
5,Write Excel Buffer,VB NNP NN,pandas-main,_typing.py
6,Read Csv Buffer,VB NNP NN,pandas-main,_typing.py
7,Test Sub Dict,VB NN NN,pandas-main,conftest.py
8,Test Non Dict Mapping,VB RB NN NN,pandas-main,conftest.py
9,Versioneer Config,NNP NN,pandas-main,_version.py
10,Not This Method,RB DT NN,pandas-main,_version.py
11,Int Casting Na N Error,NN VBG NNP NNP NN,pandas-main,__init__.py
12,Null Frequency Error,JJ NN NN,pandas-main,__init__.py
13,Performance Warning,NN NN,pandas-main,__init__.py
14,Unsupported Function Call,JJ NN NN,pandas-main,__init__.py
15,Unsorted Index Error,JJ NN NN,pandas-main,__init__.py
16,Parser Error,NN NN,pandas-main,__init__.py
17,D type Warning,FW NN NN,pandas-main,__init__.py
18,Empty Data Error,JJ NNS NN,pandas-main,__init__.py
19,Parser Warning,NN NN,pandas-main,__init__.py
20,Merge Error,VB NN,pandas-main,__init__.py
21,Abstract Method Error,JJ NN NN,pandas-main,__init__.py
22,Num ba Util Error,NN FW NN NN,pandas-main,__init__.py
23,Duplicate Label Error,JJ NN NN,pandas-main,__init__.py
24,Invalid Index Error,JJ NN NN,pandas-main,__init__.py
25,Data Error,NN NN,pandas-main,__init__.py
26,Specification Error,NN NN,pandas-main,__init__.py
27,Chained Assignment Error,JJ NN NN,pandas-main,__init__.py
28,Num Expr Clobbering Error,NN NN VBG NN,pandas-main,__init__.py
29,Undefined Variable Error,JJ NN NN,pandas-main,__init__.py
30,Indexing Error,NN NN,pandas-main,__init__.py
31,Pyperclip Exception,NNP NN,pandas-main,__init__.py
32,Pyperclip Windows Exception,NNP NNS NN,pandas-main,__init__.py
33,CSS Warning,NNP NN,pandas-main,__init__.py
34,Possible Data Loss Error,JJ NN NN NN,pandas-main,__init__.py
35,Closed File Error,JJ NN NN,pandas-main,__init__.py
36,Incompatibility Warning,NN NN,pandas-main,__init__.py
37,Attribute Conflict Warning,NN NN NN,pandas-main,__init__.py
38,Database Error,NN NN,pandas-main,__init__.py
39,Possible Precision Loss,JJ NN NN,pandas-main,__init__.py
40,Value Label Type Mismatch,NN NN NN NN,pandas-main,__init__.py
41,Invalid Column Name,JJ NN NN,pandas-main,__init__.py
42,Categorical Conversion Warning,JJ NN NN,pandas-main,__init__.py
43,Lossy Set item Error,JJ VB NN NN,pandas-main,__init__.py
44,No Buffer Present,DT NN JJ,pandas-main,__init__.py
45,Invalid Comparison,JJ NN,pandas-main,__init__.py
46,Subclassed Series,VBN NNS,pandas-main,__init__.py
47,Subclassed Data Frame,VBN NNS NN,pandas-main,__init__.py
48,Plot Accessor,NN NN,pandas-main,_core.py
49,Options,NNS,pandas-main,_misc.py
50,Hist Plot,NNP NN,pandas-main,hist.py
51,Kde Plot,NNP NN,pandas-main,hist.py
52,MPL Plot,NNP NN,pandas-main,core.py
53,Plane Plot,NN NN,pandas-main,core.py
54,Scatter Plot,NN NN,pandas-main,core.py
55,Hex Bin Plot,NN JJ NN,pandas-main,core.py
56,Line Plot,NN NN,pandas-main,core.py
57,Area Plot,NN NN,pandas-main,core.py
58,Bar Plot,NN NN,pandas-main,core.py
59,Barh Plot,NNP NN,pandas-main,core.py
60,Pie Plot,NN NN,pandas-main,core.py
61,Box Plot,NN NN,pandas-main,boxplot.py
62,BP,NNP,pandas-main,boxplot.py
63,Time Converter,NN NN,pandas-main,converter.py
64,Time Formatter,NN NN,pandas-main,converter.py
65,Period Converter,NN NN,pandas-main,converter.py
66,Datetime Converter,NN NN,pandas-main,converter.py
67,Pandas Auto Date Formatter,NNP JJ NN NN,pandas-main,converter.py
68,Pandas Auto Date Locator,NNP JJ NN NN,pandas-main,converter.py
69,Milli Second Locator,NN NN NNP,pandas-main,converter.py
70,Time Series Date Locator,NN NNS NN NN,pandas-main,converter.py
71,Time Series Date Formatter,NN NNS NN NN,pandas-main,converter.py
72,Time Series Timedelta Formatter,NN NNS NNP NN,pandas-main,converter.py
73,Data Frame,NN NN,pandas-main,frame.py
