ID,SEQUENCE,POS,PROJECT,FILE
0,type,NN,redis,bio.c
1,job,NN,redis,bio.c
2,free fn,JJ NN,redis,bio.c
3,arg count,NN NN,redis,bio.c
4,fd,FW,redis,bio.c
5,need f sync,VB FW NN,redis,bio.c
6,need reclaim cache,VB VB NN,redis,bio.c
7,fd,NNP,redis,bio.c
8,offset,NN,redis,bio.c
9,need reclaim cache,VB VB NN,redis,bio.c
10,fd,NNP,redis,bio.c
11,offset,VB,redis,bio.c
12,need reclaim cache,VB VB NN,redis,bio.c
13,arg,NN,redis,bio.c
14,type,NN,redis,bio.c
15,job type,NN NN,redis,bio.c
16,ct,FW,redis,connection.c
17,type name,NN NN,redis,connection.c
18,type name,NN NN,redis,connection.c
19,info,NN,redis,connection.c
20,key,NN,redis,lazyfree.c
21,obj,NN,redis,lazyfree.c
22,db id,NN NN,redis,lazyfree.c
23,key,NN,redis,lazyfree.c
24,obj,NN,redis,lazyfree.c
25,db id,NN NN,redis,lazyfree.c
26,db,NNP,redis,lazyfree.c
27,tracking,NN,redis,lazyfree.c
28,lua scripts,NNP NNS,redis,lazyfree.c
29,lua,NNP,redis,lazyfree.c
30,functions lib ctx,NNS NN NN,redis,lazyfree.c
31,blocks,NNS,redis,lazyfree.c
32,index,NN,redis,lazyfree.c
33,context,NN,redis,sha1.c
34,context,NN,redis,sha1.c
35,data,NNS,redis,sha1.c
36,len,NN,redis,sha1.c
37,context,NN,redis,sha1.c
38,argc,NNP,redis,sha1.c
39,argv,NNP,redis,sha1.c
40,flags,NNS,redis,sha1.c
41,n,FW,redis,cluster_legacy.c
42,n,FW,redis,cluster_legacy.c
43,n,FW,redis,cluster_legacy.c
44,use tls,VB NNP,redis,cluster_legacy.c
45,n,FW,redis,cluster_legacy.c
46,value,NN,redis,cluster_legacy.c
47,length,NN,redis,cluster_legacy.c
48,n,FW,redis,cluster_legacy.c
49,s,FW,redis,cluster_legacy.c
50,n,FW,redis,cluster_legacy.c
51,n,FW,redis,cluster_legacy.c
52,value,NN,redis,cluster_legacy.c
53,length,NN,redis,cluster_legacy.c
54,n,FW,redis,cluster_legacy.c
55,s,FW,redis,cluster_legacy.c
56,n,FW,redis,cluster_legacy.c
57,n,FW,redis,cluster_legacy.c
58,value,NN,redis,cluster_legacy.c
59,length,NN,redis,cluster_legacy.c
60,n,FW,redis,cluster_legacy.c
61,s,FW,redis,cluster_legacy.c
62,n,FW,redis,cluster_legacy.c
63,n,FW,redis,cluster_legacy.c
64,value,NN,redis,cluster_legacy.c
65,length,NN,redis,cluster_legacy.c
66,n,FW,redis,cluster_legacy.c
67,s,FW,redis,cluster_legacy.c
68,n,FW,redis,cluster_legacy.c
69,filename,NN,redis,cluster_legacy.c
70,do f sync,VB FW NN,redis,cluster_legacy.c
71,do f sync,VB FW NN,redis,cluster_legacy.c
72,filename,NN,redis,cluster_legacy.c
73,announced tcp port,JJ NNP NN,redis,cluster_legacy.c
74,announced tls port,JJ NNP NN,redis,cluster_legacy.c
75,announced c port,JJ FW NN,redis,cluster_legacy.c
76,node,NN,redis,cluster_legacy.c
77,new,JJ,redis,cluster_legacy.c
78,node,NN,redis,cluster_legacy.c
79,new,JJ,redis,cluster_legacy.c
80,node,NN,redis,cluster_legacy.c
81,shard id,NN NN,redis,cluster_legacy.c
82,hard,JJ,redis,cluster_legacy.c
83,type,NN,redis,cluster_legacy.c
84,msg len,NN NN,redis,cluster_legacy.c
85,node,NN,redis,cluster_legacy.c
86,node,NN,redis,cluster_legacy.c
87,link,NN,redis,cluster_legacy.c
88,node,NN,redis,cluster_legacy.c
89,link,NN,redis,cluster_legacy.c
90,conn,NN,redis,cluster_legacy.c
91,el,FW,redis,cluster_legacy.c
92,fd,FW,redis,cluster_legacy.c
93,priv data,JJ NNS,redis,cluster_legacy.c
94,mask,NN,redis,cluster_legacy.c
95,node name,NN NN,redis,cluster_legacy.c
96,flags,NNS,redis,cluster_legacy.c
97,failing,VBG,redis,cluster_legacy.c
98,sender,NN,redis,cluster_legacy.c
99,node,NN,redis,cluster_legacy.c
100,node,NN,redis,cluster_legacy.c
101,sender,NN,redis,cluster_legacy.c
102,node,NN,redis,cluster_legacy.c
103,master,NN,redis,cluster_legacy.c
104,slave,NN,redis,cluster_legacy.c
105,master,NN,redis,cluster_legacy.c
106,slave,NN,redis,cluster_legacy.c
107,n,FW,redis,cluster_legacy.c
108,n,FW,redis,cluster_legacy.c
109,node,NN,redis,cluster_legacy.c
110,del node,VB NN,redis,cluster_legacy.c
111,name,NN,redis,cluster_legacy.c
112,length,NN,redis,cluster_legacy.c
113,node,NN,redis,cluster_legacy.c
114,node,NN,redis,cluster_legacy.c
115,new name,JJ NN,redis,cluster_legacy.c
116,shard id,NN NN,redis,cluster_legacy.c
117,node,NN,redis,cluster_legacy.c
118,node,NN,redis,cluster_legacy.c
119,sender,NN,redis,cluster_legacy.c
120,node,NN,redis,cluster_legacy.c
121,node id,NN NN,redis,cluster_legacy.c
122,node,NN,redis,cluster_legacy.c
123,node,NN,redis,cluster_legacy.c
124,ip,NNP,redis,cluster_legacy.c
125,port,NN,redis,cluster_legacy.c
126,c port,FW NN,redis,cluster_legacy.c
127,ip,NNP,redis,cluster_legacy.c
128,port,NN,redis,cluster_legacy.c
129,c port,FW NN,redis,cluster_legacy.c
130,hdr,NNP,redis,cluster_legacy.c
131,tls port,NNP NN,redis,cluster_legacy.c
132,tcp port,NNP NN,redis,cluster_legacy.c
133,g,FW,redis,cluster_legacy.c
134,tls port,NNP NN,redis,cluster_legacy.c
135,tcp port,NNP NN,redis,cluster_legacy.c
136,gossip msg,NN NN,redis,cluster_legacy.c
