ID,SEQUENCE,POS,PROJECT,FILE
0,get id,VB NN,gradle,DefaultIvyModulePublishMetaData.java
1,get module descriptor,VB NN NN,gradle,DefaultIvyModulePublishMetaData.java
2,add configuration,VB NN,gradle,DefaultIvyModulePublishMetaData.java
3,add exclude rule,VB VB NN,gradle,DefaultIvyModulePublishMetaData.java
4,add dependency,VB NN,gradle,DefaultIvyModulePublishMetaData.java
5,add dependency artifacts,VB NN NNS,gradle,DefaultIvyModulePublishMetaData.java
6,add artifacts,VB NNS,gradle,DefaultIvyModulePublishMetaData.java
7,add artifact,VB NN,gradle,DefaultIvyModulePublishMetaData.java
8,add artifact,VB NN,gradle,DefaultIvyModulePublishMetaData.java
9,get or create,VB CC VB,gradle,DefaultIvyModulePublishMetaData.java
10,ivy artifact attributes,JJ NN NNS,gradle,DefaultIvyModulePublishMetaData.java
11,get artifacts,VB NNS,gradle,DefaultIvyModulePublishMetaData.java
12,get artifact name,VB NN NN,gradle,DefaultIvyModulePublishMetaData.java
13,to ivy artifact,TO JJ NN,gradle,DefaultIvyModulePublishMetaData.java
14,get id,VB NN,gradle,DefaultIvyModulePublishMetaData.java
15,get file,VB NN,gradle,DefaultIvyModulePublishMetaData.java
16,get target type,VB NN NN,gradle,BinaryRenderer.java
17,visit,VB,gradle,MethodStubbingApiMemberAdapter.java
18,visit method,VB NN,gradle,MethodStubbingApiMemberAdapter.java
19,generate unsupported operation exception method,VB JJ NN NN NN,gradle,MethodStubbingApiMemberAdapter.java
20,get classes dir,VB NNS NN,gradle,SourceSetOutput.java
21,set classes dir,VB NNS NN,gradle,SourceSetOutput.java
22,get resources dir,VB NNS NN,gradle,SourceSetOutput.java
23,set resources dir,VB NNS NN,gradle,SourceSetOutput.java
24,dir,NN,gradle,SourceSetOutput.java
25,dir,NN,gradle,SourceSetOutput.java
26,get dirs,VB NNS,gradle,SourceSetOutput.java
27,convert,VB,gradle,TypeConverter.java
28,build finished,VB VBD,gradle,ProfileListener.java
29,close,VB,gradle,DefaultProjectConnection.java
30,get model,VB NN,gradle,DefaultProjectConnection.java
31,get model,VB NN,gradle,DefaultProjectConnection.java
32,new build,JJ NN,gradle,DefaultProjectConnection.java
33,new test launcher,JJ NN NN,gradle,DefaultProjectConnection.java
34,model,NN,gradle,DefaultProjectConnection.java
35,action,NN,gradle,DefaultProjectConnection.java
36,get,VB,gradle,ServiceLocator.java
37,get all,VB DT,gradle,ServiceLocator.java
38,get factory,VB NN,gradle,ServiceLocator.java
39,find factory,VB NN,gradle,ServiceLocator.java
40,find factories for service type,VB NNS IN NN NN,gradle,ServiceLocator.java
41,find service implementations,VB NN NNS,gradle,ServiceLocator.java
42,extract implementation class names,VB NN NN NNS,gradle,ServiceLocator.java
43,get implementation class,VB NN NN,gradle,ServiceLocator.java
44,create,VB,gradle,ServiceLocator.java
45,new instance,JJ NN,gradle,ServiceLocator.java
46,get root,VB NN,gradle,ResolutionResult.java
47,get all dependencies,VB DT NNS,gradle,ResolutionResult.java
48,all dependencies,DT NNS,gradle,ResolutionResult.java
49,all dependencies,DT NNS,gradle,ResolutionResult.java
50,get all components,VB DT NNS,gradle,ResolutionResult.java
51,all components,DT NNS,gradle,ResolutionResult.java
52,all components,DT NNS,gradle,ResolutionResult.java
53,get scala compile options,VB NN VB NNS,gradle,ScalaCompile.java
54,get scala classpath,VB NN NN,gradle,ScalaCompile.java
55,set scala classpath,VB NN NN,gradle,ScalaCompile.java
56,get zinc classpath,VB NNP NN,gradle,ScalaCompile.java
57,set zinc classpath,VB NNP NN,gradle,ScalaCompile.java
58,set compiler,VB NN,gradle,ScalaCompile.java
59,get compiler,VB NN,gradle,ScalaCompile.java
60,configure incremental compilation,VB JJ NN,gradle,ScalaCompile.java
61,assert scala classpath is non empty,VB NN NN VBZ RB JJ,gradle,ScalaCompile.java
62,get first level module dependencies,VB JJ NN NN NNS,gradle,LenientConfiguration.java
63,get unresolved module dependencies,VB JJ NN NNS,gradle,LenientConfiguration.java
64,get files,VB NNS,gradle,LenientConfiguration.java
65,get artifacts,VB NNS,gradle,LenientConfiguration.java
66,get pattern matcher,VB NN NN,gradle,PatternMatcherFactory.java
67,compile,VB,gradle,PatternMatcherFactory.java
68,compile,VB,gradle,PatternMatcherFactory.java
69,is satisfied by,VBZ VBN IN,gradle,PatternMatcherFactory.java
70,get target project,VB NN NN,gradle,EclipseProjectDependency.java
71,get path,VB NN,gradle,EclipseProjectDependency.java
