,ID,TYPE,DECLARATION,PROJECT,FILE
0,0,uint8_t,data,libobs,obs-avc.c
1,1,size_t,size,libobs,obs-avc.c
2,2,uint8_t,p,libobs,obs-avc.c
3,3,uint8_t,end,libobs,obs-avc.c
4,4,uint8_t,nal_start,libobs,obs-avc.c
5,5,bool,is_keyframe,libobs,obs-avc.c
6,6,int,priority,libobs,obs-avc.c
7,7,,s,libobs,obs-avc.c
8,8,uint8_t,data,libobs,obs-avc.c
9,9,size_t,size,libobs,obs-avc.c
10,10,bool,is_keyframe,libobs,obs-avc.c
11,11,int,priority,libobs,obs-avc.c
12,12,,avc_packet,libobs,obs-avc.c
13,13,,src,libobs,obs-avc.c
14,14,,packet,libobs,obs-avc.c
15,15,uint8_t,data,libobs,obs-avc.c
16,16,uint8_t,data,libobs,obs-avc.c
17,17,size_t,size,libobs,obs-avc.c
18,18,uint8_t,sps,libobs,obs-avc.c
19,19,size_t,sps_size,libobs,obs-avc.c
20,20,uint8_t,pps,libobs,obs-avc.c
21,21,size_t,pps_size,libobs,obs-avc.c
22,22,uint8_t,header,libobs,obs-avc.c
23,23,uint8_t,data,libobs,obs-avc.c
24,24,size_t,size,libobs,obs-avc.c
25,25,uint8_t,packet,libobs,obs-avc.c
26,26,size_t,size,libobs,obs-avc.c
27,27,uint8_t,new_packet_data,libobs,obs-avc.c
28,28,size_t,new_packet_size,libobs,obs-avc.c
29,29,uint8_t,header_data,libobs,obs-avc.c
30,30,size_t,header_size,libobs,obs-avc.c
31,31,uint8_t,sei_data,libobs,obs-avc.c
32,32,size_t,sei_size,libobs,obs-avc.c
33,33,,vi,libobs,obs.c
34,34,,ovi,libobs,obs.c
35,35,,video,libobs,obs.c
36,36,,video,libobs,obs.c
37,37,,video,libobs,obs.c
38,38,size_t,i,libobs,obs.c
39,39,,video,libobs,obs.c
40,40,gs_effect_t,effect,libobs,obs.c
41,41,char,file,libobs,obs.c
42,42,,ovi,libobs,obs.c
43,43,,video,libobs,obs.c
44,44,,info,libobs,obs.c
